Topic_0_Words,Topic_0_Probabilities,Topic_1_Words,Topic_1_Probabilities,Topic_2_Words,Topic_2_Probabilities,Topic_3_Words,Topic_3_Probabilities,Topic_4_Words,Topic_4_Probabilities,Topic_5_Words,Topic_5_Probabilities,Topic_6_Words,Topic_6_Probabilities,Topic_7_Words,Topic_7_Probabilities,Topic_8_Words,Topic_8_Probabilities,Topic_9_Words,Topic_9_Probabilities,Topic_10_Words,Topic_10_Probabilities,Topic_11_Words,Topic_11_Probabilities,Topic_12_Words,Topic_12_Probabilities,Topic_13_Words,Topic_13_Probabilities,Topic_14_Words,Topic_14_Probabilities,Topic_15_Words,Topic_15_Probabilities,Topic_16_Words,Topic_16_Probabilities,Topic_17_Words,Topic_17_Probabilities,Topic_18_Words,Topic_18_Probabilities,Topic_19_Words,Topic_19_Probabilities,Topic_20_Words,Topic_20_Probabilities,Topic_21_Words,Topic_21_Probabilities,Topic_22_Words,Topic_22_Probabilities,Topic_23_Words,Topic_23_Probabilities,Topic_24_Words,Topic_24_Probabilities,Topic_25_Words,Topic_25_Probabilities,Topic_26_Words,Topic_26_Probabilities,Topic_27_Words,Topic_27_Probabilities,Topic_28_Words,Topic_28_Probabilities,Topic_29_Words,Topic_29_Probabilities
love,0.010428148,wikileaks,0.0072125774,combate,0.009694142,news,0.00878104,bush,0.005192198,wikileaks,0.011575609,dont,0.0148708485,cont,0.008005606,omg,0.024561109,dont,0.006588252,diz,0.010735385,short,0.0072953245,wikileaks,0.006589396,nada,0.0043800385,yahoo,0.0071324203,wikileaks,0.009732028,tax,0.0071002236,wikileaks,0.0056116516,today,0.009503169,england,0.005741051,love,0.00812313,report,0.004738081,announced,0.005473414,vegas,0.0072140847,promise,0.006548333,dreidl,0.006924853,day,0.012018684,gop,0.006281445,nyt,0.0074241906,bbc,0.011720555
wikileaks,0.009987308,life,0.005424293,brasileiro,0.009694142,forget,0.0052918335,gop,0.005192198,cont,0.0058197053,live,0.0093173655,darling,0.006020672,delivered,0.020108944,healthday,0.004954763,para,0.008015275,dax,0.0072952886,greed,0.006589396,tengo,0.0043800385,news,0.0053640124,para,0.0077678454,ajc,0.005689558,man,0.0046577784,day,0.008320188,press,0.005741051,health,0.008123091,year,0.004738081,time,0.0054734102,las,0.0072140847,qatar,0.0065483325,girl,0.0069248504,tax,0.0051833293,happy,0.006281366,wikileaks,0.007424188,wikileaks,0.009391937
lol,0.007830953,save,0.003636008,paradigma,0.009694142,video,0.0052918326,contd,0.0051921974,assange,0.0058197053,crawl,0.0056150407,media,0.0059616137,free,0.020108944,life,0.0049547628,aids,0.0052414886,day,0.0058458922,julian,0.006589378,esta,0.0043800385,twitter,0.0053640087,aids,0.0077678445,aids,0.004278885,news,0.004084853,god,0.007137205,jobs,0.0057410505,good,0.00812261,inn,0.004738079,basel,0.0036689334,jobs,0.006497013,day,0.0065483307,wonderful,0.006924849,cuts,0.0051833293,news,0.0056875376,love,0.007424187,politico,0.0070633185
god,0.006717429,studios,0.003636008,janeiro,0.009694142,england,0.0052918326,labour,0.0051921974,mccann,0.0058197053,wall,0.005615038,love,0.0053604334,iphone,0.020108944,today,0.004954762,por,0.004056894,court,0.0058458922,assange,0.006403727,bien,0.0043800385,man,0.005364008,day,0.0077678445,atlanta,0.004278885,iphone,0.003732364,time,0.0047712307,people,0.005741049,obama,0.006205951,julian,0.0047380743,art,0.0036689334,coming,0.0048357556,sweet,0.0065483223,fifa,0.0069248485,aids,0.0051833284,wikileaks,0.0047373883,der,0.0055834423,reuters,0.0070633166
good,0.005671215,movie,0.003636008,rio,0.009694142,time,0.005291832,tbh,0.0051921974,cables,0.005819704,trs,0.0037638699,appeal,0.004035799,hurry,0.020108944,hosting,0.004954761,mais,0.0040568803,economy,0.005845844,american,0.005280215,ira,0.0043800375,video,0.005363214,red,0.005841893,para,0.0042788843,billion,0.003732364,pay,0.003588243,year,0.005741049,care,0.006109061,assange,0.0047380743,una,0.0036689334,site,0.0048357556,buy,0.0043894826,market,0.0046418756,free,0.0051833284,tax,0.0047240225,arip,0.0055834395,google,0.0070600216
nyt,0.005604101,woman,0.003636008,tornouse,0.009694142,close,0.0035472151,mcot,0.005192197,guys,0.005819595,late,0.0037638699,polhukam,0.004035799,pakistan,0.0045262445,una,0.0033212656,mundial,0.0040568803,lol,0.0043964577,news,0.005280215,por,0.0043800375,people,0.0037638964,fundador,0.0039159358,market,0.0042788824,cont,0.003732363,cuz,0.003588243,british,0.005740838,month,0.0061090603,feed,0.0031760165,para,0.0036689334,hard,0.004835753,money,0.0043894826,carbon,0.0046418756,people,0.0051833256,complain,0.0047240225,great,0.0055834395,ipad,0.0070600216
true,0.0056041,deal,0.003636008,crime,0.009694142,shot,0.0035472151,inn,0.005192197,tom,0.0039010623,white,0.0037638699,ribs,0.004035799,good,0.0045262445,uribista,0.0033212656,sobre,0.0040568737,news,0.0043964554,aids,0.0039710314,mark,0.0043800366,oil,0.0035955976,diamante,0.0039159358,good,0.00427888,buy,0.002806945,cuddle,0.003588243,assange,0.0041167503,day,0.0061090575,andy,0.0031760165,chrome,0.0036689334,bush,0.00483575,fast,0.0043894826,jazz,0.004641874,wikileaks,0.0051833256,bring,0.0047240225,opinion,0.0037426879,para,0.0048288223
dont,0.005603982,amazon,0.0036360074,lol,0.009694141,social,0.0035472151,wikileaks,0.005192197,wat,0.0039010623,youll,0.0037638699,nasdem,0.004035799,lindo,0.0045262417,uribe,0.0033212656,facebook,0.003958519,dont,0.00439645,republican,0.0039710314,cup,0.004380036,worldwide,0.0035955976,por,0.0039159358,jobs,0.0042788773,free,0.002806945,forward,0.003588243,qatar,0.0038483373,cup,0.004262072,film,0.0031760165,living,0.0036689327,live,0.003768504,merci,0.0043894826,today,0.004641874,baby,0.005183321,day,0.0047240225,today,0.0037426874,hill,0.004734693
cable,0.0044861734,soldiers,0.0036360074,htt,0.005842103,hey,0.0035472151,cont,0.0051921965,jst,0.0039010623,para,0.0037638699,court,0.004035799,change,0.0045262356,todos,0.0033212656,qatar,0.0027193984,open,0.0043963934,birds,0.0039710314,dont,0.004380036,offagain,0.0035955976,kings,0.0039159353,report,0.0042541623,dog,0.002806945,gps,0.0035882422,russia,0.0038483373,wif,0.0040950277,inside,0.0031760165,viewsonic,0.0036689318,college,0.002457391,cup,0.004389482,dax,0.004641874,gop,0.0034744802,hanukkah,0.0047240225,time,0.0037426874,fresh,0.004734693
euro,0.0033772448,hit,0.0036360072,welt,0.005842103,december,0.0035472147,cuts,0.0034804253,wiv,0.0039010623,human,0.0037638699,video,0.004035798,overnight,0.0045262356,gente,0.0033212656,bactria,0.0027193984,eurusd,0.0043963934,today,0.0039710295,apreende,0.0043800347,pls,0.0035955976,pic,0.0039159353,cuts,0.0041991672,year,0.0028069445,great,0.003588242,free,0.0038483373,pass,0.0040950277,groupon,0.0031760165,stocks,0.0036689318,nyc,0.002457391,santo,0.004389482,read,0.004641874,cont,0.0034744802,wanted,0.0047240215,zwei,0.0037426874,dec,0.004734692
